region_code,name,year,EQIregionN2,nuts_level,nuts0,nuts1,nuts2,cname,eqi21_n2,eqi21_n2_lowME,eqi21_n2_highME,qualityp21_n2,impartialityp21_n2,corruptionp21_n2
AT11,Burgenland (AT),2021,401,2,AT,AT1,AT11,Austria,.826,.668967,.9830329999999999,.77,1.01,.606
AT12,Niederösterreich,2021,402,2,AT,AT1,AT12,Austria,1.023,.8938769999999999,1.152123,.8100000000000001,1.416,.728
AT13,Wien,2021,403,2,AT,AT1,AT13,Austria,.572,.3845799999999999,.75942,.349,.858,.444
AT21,Kärnten,2021,404,2,AT,AT2,AT21,Austria,.747,.590955,.903045,.51,1.073,.576
AT22,Steiermark,2021,405,2,AT,AT2,AT22,Austria,.9340000000000001,.8397410000000001,1.028259,.657,1.501,.54
AT31,Oberösterreich,2021,406,2,AT,AT3,AT31,Austria,.846,.7013969999999999,.990603,.549,1.288,.609
AT32,Salzburg,2021,407,2,AT,AT3,AT32,Austria,.898,.750536,1.045464,.838,1.255,.502
AT33,Tirol,2021,408,2,AT,AT3,AT33,Austria,.865,.686017,1.043983,.9399999999999999,.9389999999999999,.621
AT34,Vorarlberg,2021,409,2,AT,AT3,AT34,Austria,.95,.708714,1.191286,1.094,.989,.661
BE10,Region Brussels,2021,1101,2,BE,BE1,BE10,Belgium,-.218,-.518527,.082527,-.29,-.157,-.182
BE21,Antwerpen,2021,1111,2,BE,BE2,BE21,Belgium,.478,.153449,.802551,.391,.411,.579
BE22,Limburg (BE),2021,1112,2,BE,BE2,BE22,Belgium,.739,.451199,1.026801,.443,.92,.771
BE23,Oost-Vlaanderen,2021,1113,2,BE,BE2,BE23,Belgium,.679,.275555,1.082445,.451,.643,.867
BE24,Vlaams-Brabant,2021,1114,2,BE,BE2,BE24,Belgium,.5570000000000001,.2524540000000001,.861546,.471,.297,.841
BE25,West-Vlaanderen,2021,1115,2,BE,BE2,BE25,Belgium,.745,.353999,1.136001,.736,.555,.86
BE31,Brabant Wallon,2021,1121,2,BE,BE3,BE31,Belgium,.459,.160079,.7579210000000001,.239,.237,.85
BE32,Hainaut,2021,1122,2,BE,BE3,BE32,Belgium,.122,-.078713,.322713,-.254,.264,.343
BE33,Liège,2021,1123,2,BE,BE3,BE33,Belgium,.154,-.077615,.385615,-.095,.117,.423
BE34,Luxembourg (BE),2021,1124,2,BE,BE3,BE34,Belgium,.513,.338499,.687501,-.074,.655,.901
BE35,Namur,2021,1125,2,BE,BE3,BE35,Belgium,.492,.293487,.6905129999999999,-.002,.655,.769
BG31,Severozapaden,2021,1701,2,BG,BG3,BG31,Bulgaria,-1.724,-2.056734,-1.391266,-1.87,-2.044,-1.066
BG32,Severen tsentralen,2021,1702,2,BG,BG3,BG32,Bulgaria,-1.363,-1.693575,-1.032425,-1.468,-1.509,-.963
BG33,Severoiztochen,2021,1703,2,BG,BG3,BG33,Bulgaria,-1.728,-1.9864,-1.4696,-1.335,-1.98,-1.677
BG34,Yugoiztochen,2021,1704,2,BG,BG3,BG34,Bulgaria,-1.527,-1.848085,-1.205915,-1.146,-1.724,-1.543
BG41,Yugozapaden,2021,1705,2,BG,BG4,BG41,Bulgaria,-1.945,-2.316136,-1.573864,-1.793,-1.662,-2.165
BG42,Yuzhen tsentralen,2021,1706,2,BG,BG4,BG42,Bulgaria,-1.305,-1.635115,-.974885,-1.325,-1.374,-1.071
CY,Cyprus,2021,2801,0,CY,,,Cyprus,-.439,-.946197,.068197,-.122,-.5570000000000001,-.59
CZ01,Praha,2021,1901,2,CZ,CZ0,CZ01,Czech Republic,-.184,-.48473,.11673,-.2,.368,-.701
CZ02,Strední Cechy,2021,1902,2,CZ,CZ0,CZ02,Czech Republic,-.416,-.652595,-.179405,-.522,.049,-.729
CZ03,Jihozápad,2021,1903,2,CZ,CZ0,CZ03,Czech Republic,-.446,-.655646,-.236354,-.414,-.217,-.658
CZ04,Severozápad,2021,1904,2,CZ,CZ0,CZ04,Czech Republic,-.747,-.941005,-.552995,-.736,-.536,-.886
CZ05,Severovýchod,2021,1905,2,CZ,CZ0,CZ05,Czech Republic,-.233,-.447679,-.018321,-.217,.099,-.555
CZ06,Jihovýchod,2021,1906,2,CZ,CZ0,CZ06,Czech Republic,-.34,-.5459590000000001,-.134041,-.326,-.115,-.54
CZ07,Strední Morava,2021,1907,2,CZ,CZ0,CZ07,Czech Republic,-.461,-.6781900000000001,-.24381,-.26,-.288,-.784
CZ08,Moravskoslezsko,2021,1908,2,CZ,CZ0,CZ08,Czech Republic,-.555,-.781609,-.328391,-.358,-.316,-.93
DE11,Stuttgart,2021,121,2,DE,DE1,DE11,Germany,.879,.69068,1.06732,1.082,.546,.912
DE12,Karlsruhe,2021,122,2,DE,DE1,DE12,Germany,.947,.750786,1.143214,1.078,.61,1.048
DE13,Freiburg,2021,123,2,DE,DE1,DE13,Germany,.789,.5944390000000001,.983561,.5629999999999999,.946,.771
DE14,Tübingen,2021,124,2,DE,DE1,DE14,Germany,.602,.405305,.7986949999999999,.652,.336,.752
DE21,Oberbayern,2021,131,2,DE,DE2,DE21,Germany,1.029,.8563269999999999,1.201673,1.145,.84,.989
DE22,Niederbayern,2021,132,2,DE,DE2,DE22,Germany,1.193,1.052129,1.333871,1.165,1.216,1.065
DE23,Oberpfalz,2021,133,2,DE,DE2,DE23,Germany,1.093,.935891,1.250109,1.11,.914,1.134
DE24,Oberfranken,2021,134,2,DE,DE2,DE24,Germany,1.09,.9013150000000001,1.278685,.946,.904,1.299
DE25,Mittelfranken,2021,135,2,DE,DE2,DE25,Germany,.843,.68008,1.00592,1.005,.65,.781
DE26,Unterfranken,2021,136,2,DE,DE2,DE26,Germany,1.083,.9276449999999999,1.238355,1.153,.866,1.11
DE27,Schwaben,2021,137,2,DE,DE2,DE27,Germany,1.108,.952447,1.263553,1.155,1.024,1.021
DE30,Berlin,2021,103,2,DE,DE3,DE30,Germany,.173,-.126272,.472272,-.229,.066,.662
DE40,Brandenburg,2021,104,2,DE,DE4,DE40,Germany,.889,.622622,1.155378,.287,1.165,1.116
DE50,Bremen,2021,105,2,DE,DE5,DE50,Germany,.326,-.067395,.719395,-.224,.195,.97
DE60,Hamburg,2021,106,2,DE,DE6,DE60,Germany,.868,.719391,1.016609,1.011,.731,.766
DE71,Darmstadt,2021,141,2,DE,DE7,DE71,Germany,.852,.703732,1.000268,.671,.775,1.015
DE72,Gießen,2021,142,2,DE,DE7,DE72,Germany,.956,.7615219999999999,1.150478,.65,.866,1.247
DE73,Kassel,2021,143,2,DE,DE7,DE73,Germany,.976,.80436,1.14764,.855,.846,1.118
DE80,Niedersachsen,2021,109,2,DE,DE8,DE80,Germany,1.023,.849235,1.196765,.727,1.043,1.187
DE91,Braunschweig,2021,151,2,DE,DE9,DE91,Germany,1.053,.899211,1.206789,.983,.916,1.141
DE92,Hannover,2021,152,2,DE,DE9,DE92,Germany,.821,.607721,1.034279,.6909999999999999,.639,1.04
DE93,Lüneburg,2021,153,2,DE,DE9,DE93,Germany,1.254,1.056245,1.451755,.91,1.335,1.377
DE94,Weser-Ems,2021,154,2,DE,DE9,DE94,Germany,1.038,.8737900000000001,1.20221,.913,.927,1.159
DEA1,Düsseldorf,2021,161,2,DE,DEA,DEA1,Germany,.503,.33607,.66993,.393,.507,.553
DEA2,Köln,2021,162,2,DE,DEA,DEA2,Germany,.728,.515312,.940688,.592,.747,.765
DEA3,Münster,2021,163,2,DE,DEA,DEA3,Germany,1.206,1.047588,1.364412,1.017,1.154,1.314
DEA4,Detmold,2021,164,2,DE,DEA,DEA4,Germany,.951,.7165029999999999,1.185497,.775,.824,1.148
DEA5,Arnsberg,2021,165,2,DE,DEA,DEA5,Germany,.887,.678721,1.095279,.864,.627,1.07
DEB1,Koblenz,2021,171,2,DE,DEB,DEB1,Germany,1.119,.939022,1.298978,1.025,.891,1.318
DEB2,Trier,2021,172,2,DE,DEB,DEB2,Germany,1.282,1.057745,1.506255,.987,1.207,1.51
DEB3,Rheinhessen-Pfalz,2021,173,2,DE,DEB,DEB3,Germany,1.102,.8669880000000001,1.337012,1.02,.79,1.375
DEC0,Saarland,2021,112,2,DE,DEC,DEC0,Germany,.9340000000000001,.7543900000000001,1.11361,.766,.99,.944
DED2,Dresden,2021,181,2,DE,DED,DED2,Germany,.9340000000000001,.724175,1.143825,.819,.677,1.201
DED4,Chemnitz,2021,182,2,DE,DED,DED4,Germany,.887,.682289,1.091711,.673,.6889999999999999,1.2
DED5,Leipzig,2021,183,2,DE,DED,DED5,Germany,.854,.645682,1.062318,.6870000000000001,.625,1.155
DEE0,Sachsen-Anhalt,2021,114,2,DE,DEE,DEE0,Germany,.744,.484113,1.003887,.308,.742,1.1
DEF0,Schleswig-Holstein,2021,115,2,DE,DEF,DEF0,Germany,1.162,.9830109999999999,1.340989,.945,1.247,1.164
DEG0,Thüringen,2021,116,2,DE,DEG,DEG0,Germany,.972,.807874,1.136126,.6860000000000001,1.024,1.098
DK01,Hovedstaden,2021,901,2,DK,DK0,DK01,Denmark,1.149,.948403,1.349597,1.351,1.133,.836
DK02,Sjælland,2021,902,2,DK,DK0,DK02,Denmark,1.094,.8410330000000001,1.346967,.64,1.037,1.483
DK03,Syddanmark,2021,903,2,DK,DK0,DK03,Denmark,1.41,1.259147,1.560853,1.432,1.204,1.437
DK04,Midtjylland,2021,904,2,DK,DK0,DK04,Denmark,1.59,1.490951,1.689049,1.691,1.351,1.551
DK05,Nordjylland,2021,905,2,DK,DK0,DK05,Denmark,1.534,1.394958,1.673042,1.643,1.392,1.396
EE,Estonia,2021,2301,0,EE,,,Estonia,.355,.071228,.638772,.198,.255,.572
EL30,Attiki,2021,2101,2,EL,EL3,EL30,Greece,-1.307,-1.673094,-.940906,-1.056,-1.351,-1.369
EL41,Voreio Aigaio,2021,2102,2,EL,EL4,EL41,Greece,-1.257,-1.67422,-.83978,-.45,-1.386,-1.797
