"name","geo","cname","region","EQIregionN2","eqi21_n2","eqi21_n2_lowME","eqi21_n2_highME","qualityp21_n2","impartialityp21_n2","corruptionp21_n2","accesInternetMenage","chomage_jeunes","coutTravail","crime_cambriolage","crime_homicide_intentionnel","crime_vol_qualifie","crime_vol_vehicule","dureeMoySejHopitaux","jeuneSansEmploiFormation","mort_infantile","NbLitHopitaux","nbPop_1erJanv","pauvreteExclusion","persSantePour1000Habs","pib_par_reg","pop_densite","popNivParEtude20_24","popNivParEtude25_64","tauxChomage","tauxmort_infantile","tauxRisquePauvrete","pib_hab","log_pib_hab","lit_hop_par_hab","cluster"
"Abruzzo","ITF1","Italy","Europe du Sud",314,-1.257,-1.396911,-1.117089,-1.152,-1.395,-1.084,81.88,21.6,NA,3189,8,526,2722,7.9,22,27,NA,1281012,27.9,422.74,30891,120.5,11.7,31.7,9.3,2.5,27.7,2563.56846473029,7.8491554983882,NA,"2"
"Åland","FI20","Finland","Europe du Nord",805,2.197,1.930522,2.463478,2.142,2.378,1.828,NA,NA,NA,21,0,1,22,NA,NA,0,NA,30129,NA,NA,1168.64,19.2,NA,14.7,NA,0,NA,608.666666666667,6.4112707724868,NA,NA
"Alentejo","PT18","Portugal","Europe du Sud",2005,-0.177,-0.48516,0.13116,-0.058,-0.061,-0.394,66.75,15.2,NA,1259,12,529,866,NA,12.4,19,NA,699420,20.2,322.33,12441.82,22.7,9.1,42.9,6.6,3.2,17.1,5480.97797356828,8.60903882634953,NA,"2"
"Algarve","PT15","Portugal","Europe du Sud",2002,-0.203,-0.513866,0.107866,-0.246,0.051,-0.391,73.17,19.4,NA,4058,11,1109,958,NA,11.6,10,NA,437970,22.3,435.21,8705.53,88.9,NA,39.1,8.3,3.2,21.6,979.249718785152,6.8867866853722,NA,"2"
"Alsace","FRF1","France","Europe de l'Ouest",1809,0.618,0.328916,0.907084,0.855,0.477,0.454,86.5,13.7,NA,NA,NA,NA,NA,8.9,14.6,81,NA,1918635,NA,365.47,59578.95,230.6,7.1,16.4,7.1,3.7,NA,2583.64917606245,7.85695808790752,NA,"4"
"Anatoliki Makedonia, Thraki","EL51","Greece","Europe du Sud",2105,-0.889,-1.132187,-0.645813,-0.149,-1.478,-0.942,NA,45.1,NA,NA,NA,NA,NA,NA,24.1,25,NA,594905,35.2,513.69,6494.58,42.8,6.4,32.9,18.5,5.4,29,1517.42523364486,7.32477025229309,NA,"2"
"Andalucía","ES61","Spain","Europe du Sud",515,-0.675,-0.991753,-0.358247,-0.559,-0.706,-0.686,81.67,35.5,NA,20541,78,12194,14065,7.2,21.4,228,NA,8502216,35.1,368.01,150556.62,97.4,27.7,44.8,21.7,2.9,32.3,15457.5585215606,9.64585338739098,NA,"1"
"Antwerpen","BE21","Belgium","Europe de l'Ouest",1111,0.478,0.153449,0.802551,0.391,0.411,0.579,88.61,10.7,NA,10860,30,3681,2673,5.9,11.9,65,10166,1879318,NA,276.44,88189.1,665.8,12,17.8,5.2,3,NA,1324.55842595374,7.18883441944458,15.2688495043557,"4"
"Aquitaine","FRI1","France","Europe de l'Ouest",1814,0.68,0.441509,0.918491,0.727,0.646,0.591,87.61,12.1,NA,NA,NA,NA,NA,8.8,14.5,106,NA,3511921,NA,369.24,103978.58,83.9,8,13.7,7.4,3.3,NA,12393.1561382598,9.42489967489294,NA,"3"
"Aragón","ES24","Spain","Europe du Sud",507,-0.32,-0.560145,-0.079855,-0.098,-0.374,-0.452,84.92,18.1,NA,2184,10,1620,1017,10.1,12.5,30,NA,1331133,18.5,576.32,35290.08,27.9,18.7,30.5,10.2,2.2,15.8,12648.7741935484,9.44531558776461,NA,"2"
