"geo","name","cname","region","eqi21_n2","jeuneSansEmploiFormation","nbPop_1erJanv","pop_densite","popNivParEtude25_64","tauxChomage","log_pib_hab"
"AT11","Burgenland (AT)","Austria","Europe de l'Ouest",0.826,8,296010,77.8,13,5.1,7.04467536437035
"AT12","Niederösterreich","Austria","Europe de l'Ouest",1.023,7.7,1690879,88.9,12.8,5.1,8.80922394984246
"AT13","Wien","Austria","Europe de l'Ouest",0.572,11.8,1920949,4808.9,16.6,12.1,5.3026305575383
"AT21","Kärnten","Austria","Europe de l'Ouest",0.747,8.7,562089,59.9,10.4,5.6,8.14765552805352
"AT22","Steiermark","Austria","Europe de l'Ouest",0.934,7.2,1247077,76.6,13.1,4.3,8.75523101444496
"AT31","Oberösterreich","Austria","Europe de l'Ouest",0.846,7.4,1495608,126.8,14.2,3.8,8.54580900531091
"AT32","Salzburg","Austria","Europe de l'Ouest",0.898,5.5,560710,78.9,12,4.6,8.17241103489276
"AT33","Tirol","Austria","Europe de l'Ouest",0.865,6.9,760105,60.4,14.3,4.8,8.61954175848894
"AT34","Vorarlberg","Austria","Europe de l'Ouest",0.95,7.8,399237,156.3,17.3,4.1,7.06028797934965
"BE10","Region Brussels","Belgium","Europe de l'Ouest",-0.218,19.1,1226329,7526.7,24.1,12.4,4.71311661750812
"BE21","Antwerpen","Belgium","Europe de l'Ouest",0.478,11.9,1879318,665.8,17.8,5.2,7.18883441944458
"BE22","Limburg (BE)","Belgium","Europe de l'Ouest",0.739,9,883228,367.5,17.2,3.4,6.63843350654628
"BE23","Oost-Vlaanderen","Belgium","Europe de l'Ouest",0.679,8.4,1533876,512.3,13.2,2.8,6.974354736126
"BE24","Vlaams-Brabant","Belgium","Europe de l'Ouest",0.557,7.6,1163186,544.7,12.5,4,6.81632036015669
"BE25","West-Vlaanderen","Belgium","Europe de l'Ouest",0.745,7.7,1205101,380.8,18.7,3.6,7.08821608078486
"BE31","Brabant Wallon","Belgium","Europe de l'Ouest",0.459,12.2,408325,369.7,10.7,6.8,6.39774665075054
"BE32","Hainaut","Belgium","Europe de l'Ouest",0.122,18.4,1349861,354.8,26.9,10.3,6.838602747464
"BE33","Liège","Belgium","Europe de l'Ouest",0.154,16,1113324,289.7,20.8,9.4,6.9743077571114
"BE34","Luxembourg (BE)","Belgium","Europe de l'Ouest",0.513,10.2,291730,64.6,17.7,5.6,6.98027319952671
"BE35","Namur","Belgium","Europe de l'Ouest",0.492,14.7,500489,135.9,17.2,7.6,6.87707757285535
"BG31","Severozapaden","Bulgaria","Europe de l'Est",-1.724,30.2,720172,39,20.5,11.1,6.98045511732349
"BG32","Severen tsentralen","Bulgaria","Europe de l'Est",-1.363,21.1,764897,53.1,15.6,6.7,6.76165341352596
"BG33","Severoiztochen","Bulgaria","Europe de l'Est",-1.728,19.2,922230,63.7,21.7,6.1,6.87922012845453
"BG34","Yugoiztochen","Bulgaria","Europe de l'Est",-1.527,24.8,1020187,52.5,21.8,5.6,7.10018431285414
"BG41","Yugozapaden","Bulgaria","Europe de l'Est",-1.945,10.6,2085071,103.7,7.9,3.5,8.00309961719005
"BG42","Yuzhen tsentralen","Bulgaria","Europe de l'Est",-1.305,21.7,1403991,63.7,21.1,4,7.2517523956089
"CZ01","Praha","Czech Republic","Europe de l'Est",-0.184,5.8,1335084,2714.3,2,2.3,5.36514931276909
"CZ02","Strední Cechy","Czech Republic","Europe de l'Est",-0.416,8.7,1397997,128.5,4.9,2.5,7.57522581236479
"CZ03","Jihozápad","Czech Republic","Europe de l'Est",-0.446,9.1,1234592,71.8,6.7,2.4,7.97990490057939
"CZ04","Severozápad","Czech Republic","Europe de l'Est",-0.747,16.3,1110315,131.7,12,4.3,7.05090917107651
"CZ05","Severovýchod","Czech Republic","Europe de l'Est",-0.233,9.8,1516135,123.7,5.4,2.4,7.62952094807361
